time,pmt 2.5,pmt 10
2021-02-07 18:56:35.360376,6.0,7.4
2021-02-07 18:56:36.471552,5.9,7.3
2021-02-07 18:56:37.569400,5.9,7.4
2021-02-07 18:56:38.668335,5.9,7.4
2021-02-07 18:56:39.767233,5.9,7.5
2021-02-07 18:56:40.865924,5.9,7.5
2021-02-07 18:56:41.965031,5.9,7.4
2021-02-07 18:56:43.063696,5.9,7.2
2021-02-07 18:56:44.166525,6.0,7.7
2021-02-07 18:56:45.264917,6.1,8.1
2021-02-07 18:56:46.364176,6.1,8.0
2021-02-07 18:56:47.462933,6.1,8.0
2021-02-07 18:56:48.561980,6.1,8.0
2021-02-07 18:56:49.659575,6.1,7.8
2021-02-07 18:56:50.758352,6.1,7.9
2021-02-07 18:56:51.857103,6.1,7.9
2021-02-07 18:56:52.956386,6.1,7.5
2021-02-07 18:56:54.055207,6.2,7.6
2021-02-07 18:56:55.157767,6.2,7.6
2021-02-07 18:56:56.256589,6.2,7.8
2021-02-07 18:56:57.355858,6.3,7.9
2021-02-07 18:56:58.453380,6.3,7.7
2021-02-07 18:56:59.552452,6.3,7.9
2021-02-07 18:57:00.651657,6.3,7.8
2021-02-07 18:57:01.750470,6.3,7.9
2021-02-07 18:57:02.848249,6.3,8.0
2021-02-07 18:57:03.947361,6.3,8.0
2021-02-07 18:57:05.046116,6.3,8.2
2021-02-07 18:57:06.149078,6.3,8.2
2021-02-07 18:57:07.247876,6.4,8.2
2021-02-07 18:57:08.345614,6.3,8.0
2021-02-07 18:57:09.444862,6.3,7.9
2021-02-07 18:57:10.544278,6.3,7.9
2021-02-07 18:57:11.641756,6.3,7.9
2021-02-07 18:57:12.741005,6.3,7.8
2021-02-07 18:57:13.840099,6.2,7.8
2021-02-07 18:57:14.937742,6.2,7.4
2021-02-07 18:57:16.036624,6.1,7.0
2021-02-07 18:57:17.139621,6.1,7.0
2021-02-07 18:57:18.238653,6.1,7.0
2021-02-07 18:57:19.337457,6.1,6.9
2021-02-07 18:57:20.435152,6.0,7.0
2021-02-07 18:57:21.534258,6.0,7.1
2021-02-07 18:57:22.633186,6.1,7.3
2021-02-07 18:57:23.732387,6.1,7.1
2021-02-07 18:57:24.831147,6.1,7.1
2021-02-07 18:57:25.929065,6.1,7.2
2021-02-07 18:57:27.028005,6.0,7.3
2021-02-07 18:57:28.130824,6.0,7.3
2021-02-07 18:57:29.229646,6.0,7.0
2021-02-07 18:57:30.327640,6.1,7.2
2021-02-07 18:57:31.426380,6.1,7.5
2021-02-07 18:57:32.525529,6.0,7.4
2021-02-07 18:57:33.624424,6.0,7.5
2021-02-07 18:57:34.726245,6.0,7.4
2021-02-07 18:57:35.821093,6.0,7.6
2021-02-07 18:57:36.920272,6.0,7.5
2021-02-07 18:57:38.017859,6.0,7.7
2021-02-07 18:57:39.120870,6.0,7.6
2021-02-07 18:57:40.219311,6.1,8.0
2021-02-07 18:57:41.317042,6.1,8.0
2021-02-07 18:57:42.417219,6.2,8.1
2021-02-07 18:57:43.516059,6.2,8.2
2021-02-07 18:57:44.613557,6.2,8.1
2021-02-07 18:57:45.713204,6.3,8.2
2021-02-07 18:57:46.812044,6.2,8.2
2021-02-07 18:57:47.910523,6.3,8.2
2021-02-07 18:57:49.009804,6.3,8.4
2021-02-07 18:57:50.114451,6.2,8.2
2021-02-07 18:57:51.210390,6.2,8.1
2021-02-07 18:57:52.309406,6.1,7.9
2021-02-07 18:57:53.407301,6.1,7.9
2021-02-07 18:57:54.506400,6.2,8.0
2021-02-07 18:57:55.605382,6.1,8.3
2021-02-07 18:57:56.703394,6.1,8.1
2021-02-07 18:57:57.802643,6.1,7.8
2021-02-07 18:57:58.900456,6.1,7.6
2021-02-07 18:57:59.999678,6.0,7.7
2021-02-07 18:58:01.102694,5.9,7.5
2021-02-07 18:58:02.200314,5.9,7.5
2021-02-07 18:58:03.299843,5.9,7.4
2021-02-07 18:58:04.397733,5.9,7.6
2021-02-07 18:58:05.497012,5.9,7.4
2021-02-07 18:58:06.595729,5.8,7.4
2021-02-07 18:58:07.693596,5.8,7.3
2021-02-07 18:58:08.791989,5.8,7.2
2021-02-07 18:58:09.891311,5.9,8.4
2021-02-07 18:58:10.989287,5.9,8.6
2021-02-07 18:58:12.092202,5.8,8.5
2021-02-07 18:58:13.191205,5.7,8.5
2021-02-07 18:58:14.290029,5.7,8.6
2021-02-07 18:58:15.387121,5.7,8.7
2021-02-07 18:58:16.486326,5.7,8.7
2021-02-07 18:58:17.586177,5.7,8.7
2021-02-07 18:58:18.685273,5.7,8.8
2021-02-07 18:58:19.784159,5.8,8.6
2021-02-07 18:58:20.881775,5.8,8.5
2021-02-07 18:58:21.980858,5.8,8.9
2021-02-07 18:58:23.083548,5.9,8.9
2021-02-07 18:58:24.181889,5.8,8.9
2021-02-07 18:58:25.280815,5.9,8.6
2021-02-07 18:58:26.379640,5.8,8.9
2021-02-07 18:58:27.478730,5.9,9.0
2021-02-07 18:58:28.576454,6.0,9.6
2021-02-07 18:58:29.675286,6.1,9.7
2021-02-07 18:58:30.774398,6.1,9.5
2021-02-07 18:58:31.873503,6.1,9.4
2021-02-07 18:58:32.971158,6.2,9.7
2021-02-07 18:58:34.074005,6.2,9.6
