time,pmt 2.5,pmt 10
2021-02-08 09:25:43.942353,9.5,16.5
2021-02-08 09:26:14.111305,9.9,15.0
2021-02-08 09:26:44.258022,10.1,19.9
2021-02-08 09:27:14.407041,9.3,18.1
2021-02-08 09:27:44.557953,9.5,18.4
2021-02-08 09:28:14.707308,9.2,17.8
2021-02-08 09:28:44.855936,9.1,21.4
2021-02-08 09:29:15.005610,9.9,21.0
2021-02-08 09:29:45.158010,9.8,23.8
2021-02-08 09:30:15.314549,9.4,21.1
2021-02-08 09:30:45.465542,8.9,17.7
2021-02-08 09:31:15.618163,9.0,19.3
2021-02-08 09:31:45.771118,8.5,17.8
2021-02-08 09:32:15.922659,9.2,18.8
2021-02-08 09:32:46.078358,9.3,16.4
2021-02-08 09:33:16.230729,8.6,18.4
2021-02-08 09:33:46.378179,9.0,17.1
2021-02-08 09:34:16.530884,9.1,16.2
2021-02-08 09:34:46.687534,9.5,19.4
2021-02-08 09:35:16.835158,9.0,17.4
2021-02-08 09:35:47.001746,9.1,16.0
2021-02-08 09:36:17.160622,9.2,16.9
2021-02-08 09:36:47.319657,8.8,13.9
2021-02-08 09:37:17.476373,9.0,16.9
2021-02-08 09:37:47.633743,9.2,18.4
2021-02-08 09:38:17.788451,9.4,16.8
2021-02-08 09:38:47.943594,9.5,17.3
2021-02-08 09:39:18.098078,9.7,16.7
2021-02-08 09:39:48.252252,9.4,17.4
2021-02-08 09:40:18.413533,9.2,15.0
2021-02-08 09:40:48.569140,9.4,16.0
2021-02-08 09:41:18.722695,9.1,16.3
2021-02-08 09:41:48.876910,9.9,14.8
2021-02-08 09:42:19.035280,9.7,15.8
2021-02-08 09:42:49.196813,9.8,18.4
2021-02-08 09:43:19.354397,9.5,13.2
2021-02-08 09:43:49.513603,9.2,17.2
2021-02-08 09:44:19.673081,10.4,16.1
2021-02-08 09:44:49.832361,9.8,14.1
2021-02-08 09:45:19.997470,10.1,15.6
2021-02-08 09:45:50.155387,9.2,13.5
2021-02-08 09:46:20.313432,9.6,11.4
2021-02-08 09:46:50.469044,10.0,15.2
2021-02-08 09:47:20.625008,9.7,13.4
2021-02-08 09:47:50.786627,9.8,14.6
2021-02-08 09:48:20.950720,9.8,12.8
2021-02-08 09:48:51.113724,11.5,17.3
2021-02-08 09:49:21.273997,14.9,24.7
2021-02-08 09:49:51.432985,16.7,24.0
2021-02-08 09:50:21.594527,16.1,23.3
2021-02-08 09:50:51.751067,16.2,24.3
2021-02-08 09:51:21.910325,15.6,21.4
2021-02-08 09:51:52.066853,15.4,22.5
2021-02-08 09:52:22.221469,14.9,19.8
2021-02-08 09:52:52.385901,14.1,25.4
2021-02-08 09:53:22.542776,14.2,22.0
2021-02-08 09:53:52.700322,14.0,20.5
2021-02-08 09:54:22.859910,15.9,23.1
2021-02-08 09:54:53.015259,16.3,21.6
2021-02-08 09:55:23.173183,15.4,25.1
2021-02-08 09:55:53.325013,15.3,22.5
2021-02-08 09:56:23.477707,14.4,20.2
2021-02-08 09:56:53.629366,14.5,21.6
2021-02-08 09:57:23.782624,15.2,19.6
2021-02-08 09:57:53.941375,14.8,21.5
2021-02-08 09:58:24.097530,14.8,21.0
2021-02-08 09:58:54.255038,15.4,21.7
2021-02-08 09:59:24.411990,15.0,20.6
2021-02-08 09:59:54.567707,15.0,20.8
2021-02-08 10:00:24.722731,15.1,20.9
2021-02-08 10:00:54.878900,15.2,20.6
2021-02-08 10:01:25.031209,15.0,21.5
2021-02-08 10:01:55.189462,14.4,20.1
2021-02-08 10:02:25.347071,15.1,22.9
2021-02-08 10:02:55.504817,14.6,19.8
2021-02-08 10:03:25.661724,15.3,21.4
2021-02-08 10:03:55.819111,15.3,20.6
2021-02-08 10:04:25.976411,16.0,22.0
2021-02-08 10:04:56.130767,15.9,21.7
2021-02-08 10:05:26.291148,15.4,20.7
2021-02-08 10:05:56.445225,15.5,20.6
2021-02-08 10:06:26.601547,15.0,19.5
2021-02-08 10:06:56.758286,15.2,21.5
2021-02-08 10:07:26.916114,15.3,21.4
2021-02-08 10:07:57.076269,15.0,20.7
2021-02-08 10:08:27.231268,15.3,20.4
2021-02-08 10:08:57.387673,15.1,19.5
2021-02-08 10:09:27.542208,14.4,18.4
2021-02-08 10:09:57.697084,14.5,19.1
2021-02-08 10:10:27.853966,14.7,18.6
2021-02-08 10:10:58.004883,14.2,18.4
2021-02-08 10:11:28.156559,14.1,19.6
2021-02-08 10:11:58.307804,14.1,18.7
2021-02-08 10:12:28.457338,14.0,18.9
2021-02-08 10:12:58.614965,13.3,16.0
2021-02-08 10:13:28.768926,13.4,16.5
2021-02-08 10:13:58.924279,13.6,16.6
2021-02-08 10:14:29.080262,13.1,16.0
2021-02-08 10:14:59.232426,13.3,17.1
2021-02-08 10:15:29.389649,13.3,16.5
2021-02-08 10:15:59.540354,13.2,16.9
2021-02-08 10:16:29.690580,13.4,17.2
2021-02-08 10:16:59.842956,14.0,18.7
2021-02-08 10:17:29.994903,14.6,20.0
2021-02-08 10:18:00.150270,14.1,16.6
2021-02-08 10:18:30.302523,13.9,20.3
2021-02-08 10:19:00.455864,13.4,19.5
2021-02-08 10:19:30.608022,13.4,17.0
2021-02-08 10:20:00.760299,13.7,18.2
2021-02-08 10:20:30.921009,13.8,17.4
2021-02-08 10:21:01.078789,13.9,19.6
2021-02-08 10:21:31.236420,13.8,18.6
2021-02-08 10:22:01.394051,13.7,17.2
2021-02-08 10:22:31.552862,14.3,18.3
2021-02-08 10:23:01.716619,14.4,17.8
2021-02-08 10:23:31.871538,14.3,19.3
2021-02-08 10:24:02.024010,14.5,19.2
2021-02-08 10:24:32.178649,14.1,17.9
2021-02-08 10:25:02.331647,14.2,21.1
2021-02-08 10:25:32.489551,13.6,16.7
2021-02-08 10:26:02.643193,14.3,17.2
2021-02-08 10:26:32.797709,14.3,18.5
2021-02-08 10:27:02.949448,14.4,18.4
2021-02-08 10:27:33.105878,14.7,19.0
2021-02-08 10:28:03.268237,14.7,20.6
2021-02-08 10:28:33.424993,14.8,20.5
2021-02-08 10:29:03.582891,14.0,17.1
2021-02-08 10:29:33.736239,14.3,19.6
2021-02-08 10:30:03.892045,14.1,19.0
2021-02-08 10:30:34.050026,14.2,19.0
2021-02-08 10:31:04.206459,13.9,18.0
2021-02-08 10:31:34.358563,14.1,18.4
2021-02-08 10:32:04.513204,13.4,15.0
2021-02-08 10:32:34.667301,13.3,16.1
2021-02-08 10:33:04.825080,13.9,17.8
2021-02-08 10:33:34.981122,14.1,19.6
2021-02-08 10:34:05.136933,14.1,17.3
2021-02-08 10:34:35.294455,13.7,17.5
2021-02-08 10:35:05.454127,13.6,16.9
2021-02-08 10:35:35.614920,14.0,17.5
2021-02-08 10:36:05.771106,13.8,18.9
2021-02-08 10:36:35.925998,14.5,17.3
2021-02-08 10:37:06.079628,13.5,17.8
2021-02-08 10:37:36.232640,13.5,18.0
2021-02-08 10:38:06.390752,13.7,18.0
2021-02-08 10:38:36.548429,13.6,16.8
2021-02-08 10:39:06.705942,13.4,16.5
2021-02-08 10:39:36.858769,13.8,17.1
2021-02-08 10:40:07.016026,13.3,15.7
2021-02-08 10:40:37.179944,13.8,16.6
2021-02-08 10:41:07.338900,13.1,18.5
2021-02-08 10:41:37.497249,13.4,16.9
2021-02-08 10:42:07.651263,13.8,17.1
2021-02-08 10:42:37.807423,14.3,18.2
2021-02-08 10:43:07.969076,13.3,16.8
2021-02-08 10:43:38.126201,14.5,20.9
2021-02-08 10:44:08.284005,13.9,16.7
2021-02-08 10:44:38.437715,14.0,18.7
2021-02-08 10:45:08.590304,13.7,20.4
2021-02-08 10:45:38.747293,14.0,17.6
2021-02-08 10:46:08.899319,13.9,16.4
2021-02-08 10:46:39.051815,14.1,18.1
2021-02-08 10:47:09.203871,14.3,18.1
2021-02-08 10:47:39.356826,14.7,18.5
2021-02-08 10:48:09.515935,13.4,17.7
2021-02-08 10:48:39.665988,13.9,16.6
2021-02-08 10:49:09.823613,13.8,16.7
2021-02-08 10:49:39.980177,13.5,17.9
2021-02-08 10:50:10.137787,13.5,15.1
2021-02-08 10:50:40.296776,13.4,17.0
2021-02-08 10:51:10.449032,13.7,17.2
2021-02-08 10:51:40.601337,13.3,17.1
2021-02-08 10:52:10.755975,13.7,16.7
2021-02-08 10:52:40.907175,14.1,19.2
2021-02-08 10:53:11.061158,13.8,18.1
2021-02-08 10:53:41.210257,13.9,17.3
2021-02-08 10:54:11.361112,14.0,16.5
2021-02-08 10:54:41.515874,13.7,16.6
2021-02-08 10:55:11.669440,14.5,20.4
